MAL_ID,Name,Anime-1,Anime-2,Anime-3,Anime-4,Anime-5
474,Macross Plus,84,3154,47,526,2465
475,Hotori: Tada Saiwai wo Koinegau,522,4685,587,,
476,Ginban Kaleidoscope,122,32995,427,13585,12445
477,Aria the Animation,2942,31771,457,975,34798
478,Sousei no Aquarion,30,182,165,16668,878
479,Ueki no Housoku,6702,21,154,1559,238
481,Yu?Gi?Oh! Duel Monsters,,,,,
482,Yu?Gi?Oh!: Duel Monsters GX,,,,,
483,Kurau Phantom Memory,152,935,1126,226,1965
484,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,,,,,
485,Damekko Doubutsu,3841,1839,120,40483,3704
486,Kino no Tabi: The Beautiful World,457,40571,387,35838,3420
487,Girls Bravo: Second Season,1046,,,,
488,Ichigo Mashimaro,1887,5680,35078,1858,7627
489,Kamichu!,4081,199,9055,20457,1524
490,Paniponi Dash!,2605,10165,379,5030,66
492,Armitage III: Dual-Matrix,7465,,,,
493,Armitage III: Poly-Matrix,,,,,
495,Bakuretsu Hunters,534,1228,1470,1045,2409
496,Kamui no Ken,36028,,,,
497,Yami to Boushi to Hon no Tabibito,143,2251,934,610,440
498,Haja Taisei Dangaiou,,,,,
499,Makai Toshi Shinjuku,1107,300,356,1484,1225
501,Doraemon,,,,,
502,Dragon Ball Movie 1: Shen Long no Densetsu,,,,,
503,Eien no Aselia,,,,,
504,Fatal Fury: The Motion Picture,,,,,
505,Fushigiboshi no?Futagohime,,,,,
506,Glass no Kamen,135,313,4722,311,35228
507,Gravitation: Lyrics of Love,365,,,,
508,Tottoko Hamtarou,,,,,
509,I My Me! Strawberry Eggs,195,242,9944,189,610
510,Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,,,,,
511,Kidou Shinsengumi Moeyo Ken TV,2277,,,,
512,Majo no Takkyuubin,31376,199,14349,34541,431
513,Tenkuu no Shiro Laputa,9760,431,302,1251,572
514,Cossette no Shouzou,226,228,885,5081,9756
515,Hajimari no Boukensha-tachi: Legend of Crystania,2249,,,,
516,Keroro Gunsou,8557,918,15809,1138,35330
517,School Rumble: Ichi Gakki Hoshuu,,,,,
518,Mahou no Princess Minky Momo,,,,,
519,Mahoraba: Heartful days,21405,189,1852,53,13759
520,Marmalade Boy Movie,,,,,
521,Mermaid Melody Pichi Pichi Pitch,687,530,122,6129,44191
522,Metropolis,47,43,1016,4981,1301
523,Tonari no Totoro,12355,2890,199,431,4081
524,Onegai?Twins: Natsu wa Owaranai,,,,,
525,Otogizoushi,5039,,,,
526,Boku no Chikyuu wo Mamotte,455,770,13125,474,51
527,Pokemon,552,1138,2156,1469,3576
528,Pokemon Movie 01: Mewtwo no Gyakushuu,30,,,,
529,Saishuu Heiki Kanojo,147,226,358,134,101
530,Bishoujo Senshi Sailor Moon,687,232,100,9756,521
531,Bishoujo Senshi Sailor Moon R: The Movie,,,,,
532,Bishoujo Senshi Sailor Moon S,9756,440,,,
533,Sensei no Ojikan: Doki Doki School Hours,1887,9774,293,,
534,Slayers,2409,30831,6702,1195,1161
535,Slayers Next,435,3588,121,1184,
536,Slayers: The Motion Picture,,,,,
537,Tekken,3625,6033,813,,
538,Shin Tenchi Muyou!,123,,,,
539,Tenchi Muyou! Ryououki,117,3455,4999,8407,123
540,Tenchi Muyou! Ryououki 2nd Season,15583,,,,
541,Tenchi Muyou! Ryououki 3rd Season,,,,,
543,Vampire Hunter D (2000),617,1,1107,20543,2246
544,Venus Senki,47,791,1151,2722,1747
545,Mousou Kagaku Series: Wandaba Style,6693,849,,,
546,Wind: A Breath of Heart (TV),1581,2926,2155,2927,4975
547,Wind: A Breath of Heart OVA,,,,,
548,Wonderful Days,47,317,43,2746,522
550,Yu?Gi?Oh!,,,,,
551,Grappler Baki: Saidai Tournament-hen,41353,174,,,
552,Digimon Adventure,527,1469,31427,11759,2281
553,Yami no Matsuei,4898,149,1043,7058,1036
554,Koutetsu Tenshi Kurumi,573,1630,3335,,
555,Koutetsu Tenshi Kurumi 2,,,,,
556,Koutetsu Tenshi Kurumi Zero,,,,,
557,Koutetsu Tenshi Kurumi Encore,,,,,
558,Major S2,11061,22,,,
559,RahXephon: Kansoukyoku/Kanojo to Kanojo Jishin to - Thatness and Thereness,,,,,
560,Soukyuu no Fafner: Right of Left - Single Program,,,,,
561,Sakura Taisen,3927,30382,95,166,2704
562,Sakura Taisen: Le Nouveau Paris,,,,,
563,DNA²,5958,7817,10110,357,201
564,Puni Puni?Poemii,,,,,
565,Steamboy,47,513,28625,35240,302
566,Tetsuwan Birdy,300,22535,373,1347,
567,The Big O,30,1,2321,790,721
568,Bubblegum Crisis Tokyo 2040,274,467,,,
569,Musekinin Kanchou Tylor,218,245,268,820,1034
570,Jin-Rou,47,43,44,23279,437
571,Moldiver,,,,,
572,Kaze no Tani no Nausicaä,164,1140,34599,513,5420
573,Saber Marionette J,59,554,1450,6,
574,Rean no Tsubasa,,,,,
576,Magikano,7088,8630,66,,
577,Kagi Hime Monogatari: Eikyuu Alice Rondo,1965,64,721,,
578,Hotaru no Haka,15227,1824,6211,160,6114
579,Battle Programmer Shirase,1535,339,,,
580,Kogepan,,,,,
581,Honoo no Labyrinth,,,,,
582,Sexy Commando Gaiden: Sugoi yo!! Masaru-san,114,30276,245,,
584,Noein: Mou Hitori no Kimi e,9253,2164,455,160,5074
585,Mimi wo Sumaseba,2236,1689,1029,743,512
