MAL_ID,Name,Anime-1,Anime-2,Anime-3,Anime-4,Anime-5
395,Gantz 2nd Stage,,,,,
396,Seikai no Senki,2158,820,,,
397,Seikai no Senki II,,,,,
398,Seikai no Senki III,,,,,
399,Seikai no Senki Special,,,,,
400,Seihou Bukyou Outlaw Star,1,2001,20057,6030,419
401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,,,,,
402,Otogi Juushi Akazukin OVA,,,,,
403,Hanaukyou Maid-tai,,,,,
404,Bastard!!: Ankoku no Hakaishin,2409,300,2479,666,
405,Blood: The Last Vampire,9260,570,2138,,
406,Buzzer Beater,11771,,,,
407,Tantei Gakuen Q,1571,,,,
408,Final Fantasy VII: Last Order,33080,777,1726,32071,42307
411,Gun x Sword,1,205,165,297,100
412,Kore ga Watashi no Goshujinsama,2026,5030,,,
413,Hametsu no Mars,3287,38853,1657,16774,838
415,Tonari no Yamada-kun,16664,66,5681,966,31174
416,Kurenai no Buta,16662,513,164,,
417,Ragnarök The Animation,3230,4657,11757,,
418,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,,,,,
419,Samurai Deeper Kyou,205,400,249,,
420,Spriggan,47,5356,,,
421,Stratos 4,1942,,,,
422,Stratos 4 OVA,,,,,
423,Stratos 4 Advance,,,,,
424,Dirty Pair,8795,1151,4176,,
425,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,,,,,
426,Final Fantasy,3461,,,,
427,Kaleido Star,1974,476,135,35503,34636
428,Kaleido Star: Aratanaru Tsubasa - Extra Stage,,,,,
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,,,,,
430,Fullmetal Alchemist: The Conqueror of Shamballa,,,,,
431,Howl no Ugoku Shiro,199,513,512,164,32902
432,Iria: Zeiram The Animation,1270,566,4200,,
433,"Kumo no Mukou, Yakusoku no Basho",1689,256,2236,9760,2924
434,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,2332,8855,2196,,
435,Magic Knight Rayearth,182,207,232,2001,31710
437,Perfect Blue,339,1943,323,1033,4282
438,Phantom The Animation,272,5682,,,
439,RG Veda,25013,,,,
440,Shoujo Kakumei Utena,10721,30,18679,338,721
441,Shoujo Kakumei Utena: Adolescence Mokushiroku,32,6675,1943,885,1089
442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,,,,,
443,Onegai?Teacher: Himitsu na Futari,,,,,
444,Maria-sama ga Miteru: Haru,,,,,
445,Tales of Eternia The Animation,347,,,,
446,Weiß Kreuz Glühen,,,,,
447,Weiß Kreuz,1243,,,,
448,Tenjou Tenge: The Ultimate Fight,9201,1859,1559,,
449,InuYasha Movie 4: Guren no Houraijima,8476,,,,
450,InuYasha Movie 2: Kagami no Naka no Mugenjo,,,,,
451,InuYasha Movie 3: Tenka Hadou no Ken,,,,,
452,InuYasha Movie 1: Toki wo Koeru Omoi,,,,,
454,.hack//Gift,,,,,
455,Fantastic Children,584,160,5420,1695,1450
456,Gokujou Seitokai,519,,,,
457,Mushishi,4081,486,2246,164,861
458,Buttobi!! CPU,1331,,,,
459,One Piece Movie 1,,,,,
460,One Piece Movie 2: Nejimaki-jima no Daibouken,,,,,
461,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,,,,,
462,One Piece Movie 4: Dead End no Bouken,,,,,
463,One Piece Movie 5: Norowareta Seiken,,,,,
464,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,2397,2236,,,
465,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,,,,,
466,One Piece: Taose! Kaizoku Ganzack,10189,,,,
467,Koukaku Kidoutai: Stand Alone Complex,13601,790,1,339,1827
468,Innocence,1350,4282,1943,1016,
469,Karin,8536,23945,,,
470,Okusama wa Joshikousei (TV),,,,,
471,To Heart 2,,,,,
472,To Heart,,,,,
473,Tide-Line Blue,,,,,
474,Macross Plus,1,84,1488,3154,31973
475,Hotori: Tada Saiwai wo Koinegau,16528,6189,,,
476,Ginban Kaleidoscope,427,210,1846,1579,120
477,Aria the Animation,2942,31771,975,6802,17549
478,Sousei no Aquarion,9041,,,,
479,Ueki no Housoku,6702,21,250,2001,
481,Yu?Gi?Oh! Duel Monsters,,,,,
