MAL_ID,Name,Anime-1,Anime-2,Anime-3,Anime-4,Anime-5
536,Slayers: The Motion Picture,808,,,,
537,Tekken,,,,,
538,Shin Tenchi Muyou!,,,,,
539,Tenchi Muyou! Ryououki,117,50,6201,2993,3078
540,Tenchi Muyou! Ryououki 2nd Season,3593,15583,,,
541,Tenchi Muyou! Ryououki 3rd Season,,,,,
543,Vampire Hunter D (2000),,,,,
544,Venus Senki,47,,,,
545,Mousou Kagaku Series: Wandaba Style,6693,,,,
546,Wind: A Breath of Heart (TV),1581,2155,66,591,668
547,Wind: A Breath of Heart OVA,,,,,
548,Wonderful Days,,,,,
550,Yu?Gi?Oh!,,,,,
551,Grappler Baki: Saidai Tournament-hen,,,,,
552,Digimon Adventure,13201,11757,,,
553,Yami no Matsuei,4898,1019,173,36511,243
554,Koutetsu Tenshi Kurumi,17247,412,3503,,
555,Koutetsu Tenshi Kurumi 2,,,,,
556,Koutetsu Tenshi Kurumi Zero,,,,,
557,Koutetsu Tenshi Kurumi Encore,,,,,
558,Major S2,,,,,
559,RahXephon: Kansoukyoku/Kanojo to Kanojo Jishin to - Thatness and Thereness,,,,,
560,Soukyuu no Fafner: Right of Left - Single Program,,,,,
561,Sakura Taisen,166,,,,
562,Sakura Taisen: Le Nouveau Paris,,,,,
563,DNA²,,,,,
564,Puni Puni?Poemii,,,,,
565,Steamboy,,,,,
566,Tetsuwan Birdy,1347,,,,
567,The Big O,31163,3305,467,1412,
568,Bubblegum Crisis Tokyo 2040,2127,,,,
569,Musekinin Kanchou Tylor,218,245,400,268,6
570,Jin-Rou,,,,,
571,Moldiver,18679,,,,
572,Kaze no Tani no Nausicaä,,,,,
573,Saber Marionette J,59,180,696,379,
574,Rean no Tsubasa,,,,,
576,Magikano,193,2104,66,276,2494
577,Kagi Hime Monogatari: Eikyuu Alice Rondo,,,,,
578,Hotaru no Haka,,,,,
579,Battle Programmer Shirase,268,339,1210,467,5630
580,Kogepan,23539,37144,9561,5983,
581,Honoo no Labyrinth,1944,268,,,
582,Sexy Commando Gaiden: Sugoi yo!! Masaru-san,114,914,1196,1050,30276
584,Noein: Mou Hitori no Kimi e,9253,455,790,992,
585,Mimi wo Sumaseba,2236,66,,,
586,Ayakashi: Japanese Classic Horror,,,,,
587,Hanbun no Tsuki ga Noboru Sora,23273,358,147,6547,9989
588,Itsudatte My Santa!,38815,260,,,
589,Ginga Nagareboshi Gin,,,,,
590,Kage kara Mamoru!,4999,7054,10213,10110,1369
591,Amaenaide yo!!,4999,189,546,133,2993
592,PopoloCrois,,,,,
