MAL_ID,Name,Anime-1,Anime-2,Anime-3,Anime-4,Anime-5
461,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,,,,,
462,One Piece Movie 4: Dead End no Bouken,,,,,
463,One Piece Movie 5: Norowareta Seiken,,,,,
464,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,,,,,
465,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,,,,,
466,One Piece: Taose! Kaizoku Ganzack,,,,,
467,Koukaku Kidoutai: Stand Alone Complex,13601,1,2025,26,6973
468,Innocence,782,,,,
469,Karin,,,,,
470,Okusama wa Joshikousei (TV),,,,,
471,To Heart 2,13655,,,,
472,To Heart,,,,,
473,Tide-Line Blue,,,,,
474,Macross Plus,1,84,31973,47,85
475,Hotori: Tada Saiwai wo Koinegau,,,,,
476,Ginban Kaleidoscope,1698,,,,
477,Aria the Animation,2942,31771,457,975,34798
478,Sousei no Aquarion,,,,,
479,Ueki no Housoku,4654,,,,
481,Yu?Gi?Oh! Duel Monsters,,,,,
482,Yu?Gi?Oh!: Duel Monsters GX,,,,,
483,Kurau Phantom Memory,935,,,,
484,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,,,,,
485,Damekko Doubutsu,,,,,
486,Kino no Tabi: The Beautiful World,457,387,35838,3701,2966
487,Girls Bravo: Second Season,,,,,
488,Ichigo Mashimaro,1887,17549,,,
489,Kamichu!,477,20457,2963,5680,
490,Paniponi Dash!,1887,10165,,,
492,Armitage III: Dual-Matrix,,,,,
493,Armitage III: Poly-Matrix,,,,,
495,Bakuretsu Hunters,,,,,
496,Kamui no Ken,,,,,
497,Yami to Boushi to Hon no Tabibito,,,,,
498,Haja Taisei Dangaiou,,,,,
499,Makai Toshi Shinjuku,,,,,
501,Doraemon,,,,,
502,Dragon Ball Movie 1: Shen Long no Densetsu,,,,,
503,Eien no Aselia,,,,,
504,Fatal Fury: The Motion Picture,,,,,
505,Fushigiboshi no?Futagohime,,,,,
506,Glass no Kamen,,,,,
507,Gravitation: Lyrics of Love,365,,,,
508,Tottoko Hamtarou,,,,,
509,I My Me! Strawberry Eggs,245,,,,
510,Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,,,,,
511,Kidou Shinsengumi Moeyo Ken TV,,,,,
512,Majo no Takkyuubin,199,14349,431,32491,7711
513,Tenkuu no Shiro Laputa,9760,431,9314,35760,
514,Cossette no Shouzou,226,228,885,9756,5205
515,Hajimari no Boukensha-tachi: Legend of Crystania,,,,,
516,Keroro Gunsou,8557,,,,
517,School Rumble: Ichi Gakki Hoshuu,,,,,
518,Mahou no Princess Minky Momo,,,,,
519,Mahoraba: Heartful days,,,,,
520,Marmalade Boy Movie,,,,,
521,Mermaid Melody Pichi Pichi Pitch,530,122,15061,8206,5680
522,Metropolis,4981,,,,
523,Tonari no Totoro,12355,10408,10029,,
524,Onegai?Twins: Natsu wa Owaranai,,,,,
525,Otogizoushi,,,,,
526,Boku no Chikyuu wo Mamotte,13125,474,,,
527,Pokemon,21,481,2142,457,
528,Pokemon Movie 01: Mewtwo no Gyakushuu,,,,,
529,Saishuu Heiki Kanojo,10793,,,,
530,Bishoujo Senshi Sailor Moon,100,9756,521,,
531,Bishoujo Senshi Sailor Moon R: The Movie,,,,,
532,Bishoujo Senshi Sailor Moon S,,,,,
533,Sensei no Ojikan: Doki Doki School Hours,,,,,
534,Slayers,6702,210,4657,,
535,Slayers Next,,,,,
536,Slayers: The Motion Picture,,,,,
537,Tekken,,,,,
538,Shin Tenchi Muyou!,,,,,
539,Tenchi Muyou! Ryououki,,,,,
540,Tenchi Muyou! Ryououki 2nd Season,,,,,
541,Tenchi Muyou! Ryououki 3rd Season,,,,,
543,Vampire Hunter D (2000),2246,33,,,
544,Venus Senki,,,,,
545,Mousou Kagaku Series: Wandaba Style,,,,,
546,Wind: A Breath of Heart (TV),,,,,
547,Wind: A Breath of Heart OVA,,,,,
548,Wonderful Days,3089,433,,,
550,Yu?Gi?Oh!,,,,,
551,Grappler Baki: Saidai Tournament-hen,,,,,
552,Digimon Adventure,,,,,
553,Yami no Matsuei,2404,,,,
554,Koutetsu Tenshi Kurumi,,,,,
555,Koutetsu Tenshi Kurumi 2,,,,,
556,Koutetsu Tenshi Kurumi Zero,,,,,
557,Koutetsu Tenshi Kurumi Encore,,,,,
558,Major S2,,,,,
559,RahXephon: Kansoukyoku/Kanojo to Kanojo Jishin to - Thatness and Thereness,,,,,
560,Soukyuu no Fafner: Right of Left - Single Program,,,,,
561,Sakura Taisen,,,,,
562,Sakura Taisen: Le Nouveau Paris,,,,,
563,DNA²,,,,,
564,Puni Puni?Poemii,,,,,
565,Steamboy,,,,,
566,Tetsuwan Birdy,1336,,,,
567,The Big O,1,1583,,,
568,Bubblegum Crisis Tokyo 2040,,,,,
569,Musekinin Kanchou Tylor,820,,,,
570,Jin-Rou,47,43,437,20785,1290
571,Moldiver,,,,,
572,Kaze no Tani no Nausicaä,164,1140,34599,393,
573,Saber Marionette J,375,,,,
574,Rean no Tsubasa,,,,,
576,Magikano,,,,,
577,Kagi Hime Monogatari: Eikyuu Alice Rondo,,,,,
578,Hotaru no Haka,15227,2623,13253,,
579,Battle Programmer Shirase,,,,,
580,Kogepan,,,,,
581,Honoo no Labyrinth,,,,,
582,Sexy Commando Gaiden: Sugoi yo!! Masaru-san,3702,,,,
584,Noein: Mou Hitori no Kimi e,9253,455,35557,,
585,Mimi wo Sumaseba,597,35839,31988,12531,
586,Ayakashi: Japanese Classic Horror,,,,,
587,Hanbun no Tsuki ga Noboru Sora,23273,,,,
588,Itsudatte My Santa!,,,,,
589,Ginga Nagareboshi Gin,202,6114,,,
590,Kage kara Mamoru!,4999,,,,
591,Amaenaide yo!!,,,,,
592,PopoloCrois,,,,,
593,Mugen no Ryvius,1690,290,909,,
594,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,,,,,
595,X OVA,,,,,
596,Chobits: Chibits,,,,,
597,Neko no Ongaeshi,41168,585,,,
598,Jinzou Ningen Kikaider The Animation,,,,,
599,Yuugen Kaisha,2400,,,,
600,Legend of Duo,258,,,,
601,Nekojiru-sou,1204,,,,
602,KO Seiki Beast Sanjuushi,,,,,
603,Futari wa Precure,,,,,
604,Mahou no Stage Fancy Lala,,,,,
605,Tenshi ni Narumon!,,,,,
606,Kazemakase Tsukikage Ran,205,,,,
607,Otogi Juushi Akazukin,,,,,
608,Sakura Taisen: Katsudou Shashin,,,,,
609,Saishuu Heiki Kanojo: Another Love Song,,,,,
610,Popotan,,,,,
611,Platonic Chain,,,,,
612,PetoPeto-san,,,,,
613,Onmyou Taisenki,,,,,
614,Okusama wa Mahou Shoujo,,,,,
615,Nurse Witch Komugi-chan Magikarte,1643,,,,
616,Nurse Angel Ririka SOS,,,,,
617,Juubee Ninpuuchou,,,,,
618,Juubee Ninpuuchou: Ryuuhougyoku-hen,67,,,,
619,Ninja Ryuukenden,,,,,
620,Takahashi Rumiko Gekijou Ningyo no Mori,300,,,,
621,Night Walker: Mayonaka no Tantei,,,,,
622,Natsu-iro no Sunadokei,,,,,
623,Shichinin no Nana,,,,,
624,Mouse,,,,,
625,Moekan The Animation,,,,,
626,Mamotte Shugogetten!,,,,,
627,Major S1,388,185,5834,,
629,Mahoutsukai Tai!,,,,,
630,Mahoutsukai Tai! (TV),,,,,
631,Mahoromatic Summer Special,,,,,
632,Mahoromatic End Year Special,,,,,
633,Legend of Basara,,,,,
634,Koi Kaze,8769,8861,8426,10162,
635,Juubee-chan: Lovely Gantai no Himitsu,,,,,
636,Juubee-chan 2: Siberia Yagyuu no Gyakushuu,,,,,
637,Iketeru Futari,,,,,
641,Ichigo 100% Special 2,,,,,
642,Ichigo 100%: Koi ga Hajimaru?! Satsuei Gasshuku - Yureru Kokoro ga Higashi e Nishi e,,,,,
644,Hachimitsu to Clover Specials,,,,,
